id,publisher,title_or_document,date,source_type,grade,reachability,url,main_use
S13,SEC,TeraWulf Anthropic 401MW 20-year agreement,2026,Regulatory filing,A,"403 anti-bot",https://www.sec.gov/Archives/edgar/data/1083301/000110465926080583/tm2619468d1_ex99-1.htm,"Long-lease MW value and timing"
S14,Oracle,Q4 FY2026 Earnings Release,2026-06-10,Official earnings release,A,200,https://www.oracle.com/news/announcement/q4fy26-earnings-release-2026-06-10/,"OCI revenue RPO financing and FCF"
S15,Amazon,Q1 2026 Earnings,2026-Q1,Official earnings release,A,200,https://www.aboutamazon.com/news/company-news/amazon-earnings-q1-2026-report,"AWS segment revenue context"
S16,Alphabet,Q1 2026 Earnings Exhibit 99.1,2026-Q1,SEC exhibit,A,"403 anti-bot",https://www.sec.gov/Archives/edgar/data/1652044/000165204426000043/googexhibit991q12026.htm,"Google Cloud revenue context"
S17,Microsoft,FY2026 Q3 Earnings Release,2026-Q1,Official earnings release,A,200,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,"Intelligent Cloud revenue context"
S18,Reuters syndicated by MarketScreener,Meta AI compute 7GW to 14GW,2026,Wire report,C,"403 anti-bot",https://www.marketscreener.com/news/meta-to-put-ai-chip-into-production-in-september-as-it-looks-to-double-computing-capacity-memo-show-ce7f5eded988f422,"Meta current and 2027 target"
S19,Axios citing Jefferies,Hyperscaler data-center power estimates,2026-06-26,Credible media with analyst estimate,C,"403 anti-bot",https://www.axios.com/2026/06/26/amazon-google-microsoft-dominate-data-centers,"AWS Microsoft Google total fleet estimate"
S20,TechCrunch,Meta 1.3m GPU year-end target,2025-01-24,Technology media,C,200,https://techcrunch.com/2025/01/24/mark-zuckerberg-says-meta-will-have-1-3m-gpus-for-ai-by-year-end/,"Meta GPU target not actual"
S21,Google,First AI hub in India with USD15bn investment,2025,Company announcement,B,200,https://blog.google/intl/en-in/company-news/our-first-ai-hub-in-india-powered-by-a-15-billion-investment/,"Vizag timing and gigawatt-scale description"
S22,Government of India PIB,Vizag project official release,2025,Government release,A,200,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2178852&lang=1&reg=3,"Official 1GW Vizag commitment"
S23,Meta,Meta and Blue Owl develop Hyperion data center,2025-10-21,Company announcement,B,200,https://about.fb.com/news/2025/10/meta-blue-owl-capital-develop-hyperion-data-center/,"Hyperion ownership and financing structure"
S24,Microsoft,Inside the world's most powerful AI datacenter,2025-09-18,Company infrastructure post,B,200,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,"Fairwater project context without a total-fleet GW claim"
S25,CNBC,Jensen Huang GTC Washington DC AI remarks,2025-10-28,Reputable media quoting company CEO,C,200,https://www.cnbc.com/2025/10/28/nvidia-jensen-huang-gtc-washington-dc-ai.html,"Official public anchor of 6m Blackwell GPUs shipped in the prior four quarters"
S26,Epoch AI,Data on AI Chip Sales,2026-06,Research dataset,C,200,https://epoch.ai/data/ai-chip-sales,"Modeled cumulative quarterly and product-level AI chip shipments"
S27,Omdia,Demand for Google TPU chips accelerates,2024-12,Industry research estimate,C,200,https://omdia.tech.informa.com/pr/2024/dec/omdia-demand-for-googles-tpu-chips-accelerates-challenging-nvidias-dominance,"TPU demand and spending context; not an official unit count"
S28,AWS,Project Rainier AI Trainium cluster,2025-10,Company infrastructure announcement,B,200,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,"Nearly 500k Trainium2 operational and Anthropic year-end target"
